영단어|한국단어|설명
(Bulbous)Bow Warning Light|구상선수 주의등|구상선수가 있음을 알리기 위하여 켜는 선수등으로 적색 또는 청색이 있음
0.50% Sulphur limit|연료유 0.5% 황 함유량 규제|0.50% Sulphur limit under MARPOL Annex VI, 선박에서 배출되는 대기오염물질 중 황산화물(SO 2 및 SO 3 )의 배출량 감축을 위해 기존 중유(3.5% S 이하) 대신 황 함유량 0.50% 이하 연료를 사용하는 규제로 2020년부터 시작된 글로벌 규제임 < 출처: DNV-GL >
2|2세대 비손상 복원성|nd
2010 HNS Protocol|2010년 위험 유해물질의 해상운송에 따른|‘위험·유해 물질의 해상운송에 따른 손해배상책임에 관한 국제협약’(International Convention on Liability and Compensation for Damage in Connection with the Carriage of Hazardous and Noxious Substances by Sea, 1996; ‘HNS 협약’)은 국제해사기구의 법률위원회에서 1980년 최초로 논의된 뒤 1996년 외교 회의에서 채택되었음. HNS 협약은 유류, LNG, LPG 및 산적 고체·액체·가스 위험물 등 다양한 위험 유해물질의 해상운송 과정에서 사고가 발생한 경우 선박소유자 및 보험사가 1차로 보상하고, 2차로 HNS 기금이 보상하는 2단계 체계를 마련하여, 대형사고가 발생하더라도 피해자들에게 충분하고 신속하게 보상할 수 있도록 규정하고 있음. 그러나 HNS 협약이 발효되기 위해서는 12개국이 비준해야 하며 물동량이 1년 일반회계 기준 4천만 톤을 넘어야 하지만 다수 국가의 의견이 하나로 수렴되지 않아 발효 요건이 충족되지 않았고 결국 1996년 HNS 협약은 발효되지 않았음. 이후 법률위원회에서 각국의 의견을 수렴하여 기존 HNS 협약을 개정하는바, 이 개정된 의정서의 명칭이 ‘1996년 위험·유해 물질의 해상운송에 따른 손해배상책임에 관한 국제협약의 2010년 의정서 (Protocol of 2010 to Amend the International Convention on Liability and Compensation for Damage in Connection with the Carriage of Hazardous and Noxious Substances by Sea, 1996; HNS PROT 2010)이며 2020년 6월 기준 아직 발효되지 않았음
2010 Manila Amendments|2010 마닐라 개정|2010년 6월에 필리핀 마닐라에서 열린 외교 회의에서 채택되었 으며, 선원들이 기술적으로 진보된 선박을 운영하기 위해 선원을 교육하고 인증하는데 필요한 글로벌 표준을 마련하는 목표로 협약 및 각 규칙에 대하여 변경 사항을 포함
2011 Guidelines for the control and management of ship’s biofouling to minimize the transfer of invasive aquatic species|2011 선박 생물오손 관리 지침서|선박의 생물오손을 통한 수중생물의 이동을 최소화하기 위해 선체와 생물부착에 취약한 구역 등을 관리하기 위한 지침
2012 Cape Town Agreement (CTA)|2012 케이프타운 협정|어선의 구조와 설비에 대한 안전 요구 사항으로 1977 어선 안전을 위한 토레몰리노스 국제협약이 제정됨. 엄격한 규정으로 발효 조건을 만족하지 못하자 일부 요건을 완화하여 1993 트레몰리노스 의정서로 개정함. 이 또한 현재까지 발효 조건을 만족하지 못하였으며 이 의정서의 세부요건을 일부 완화하고, 점진적 이행이 가능하도록 제도를 마련하여 의정서 발효를 촉구하고자 2012 케이프타운 협정서를 체결함. 발효 조건은 24m 이상 어선의 합계 척수 3,600척 이상, 22개국 이상이 비준해야 하며, 현재 11개국이 비준함
3GPP|이동통신 표준화기구|3GPP (3rd Generation Partnership Project), 이동통신 관련 국제표준 제정을 위한 민간 표준화 기구
3R|Reduce(감소),|폐기물의 감량화(Reduce), 재사용(Reuse), 재활용(Recycling)을 의미. 자원의 절약과 자연계의 자정 능력 범위에서 폐기물을 배출시켜 환경 영향 감소와 기술 발전을 이루도록 하는 목적이 있음.
A 1|A1 해역|A1 (Sea area A1), 당사국 정부에 의하여 규정될 수 있는 것으로서 계속적인 DSC 경보를 이용할 수 있는 최소한 하나의 VHF 해안국의 무선전화통신 범위 내의 해역 (통상 20~30마일)
A 2|A2 해역|A2 (Sea area A2), 당사국 정부에 의하여 규정될 수 있는 것으로서 계속적인 DSC 경보를 이용할 수 있는 최소한 하나의 MF 해안국의 무선전화통신 범위 내에서 A1해역을 제외한 해역 (통상 100마일)
A 3|A3 해역|A3 (Sea area A3), 계속적인 경보를 이용할 수 있는 INMARSAT 정지궤도 위성의 통신 범위 내에서 A1 및 A2 해역을 제외한 해역 (약 70°N~70°S)
A 4|A4 해역|A4 (Sea area A4), A1, A2 및 A3 해역 밖의 해역 (남극, 북극 등) < 출처: Marine Gyaan 홈페이지 >
A/C (Anticorrosive) Paint|방청도료|NULL
A/F (Antifouling) Paint|방오도료(防汚塗料|NULL
ABOVE BASE LINE|기선 상부|NULL
ABOVE BASE LINE|기준선 상부|NULL
ABS : American Bureau of Shipping|미국선급협회|미국의 선급협회
ABS(American Bureau of Shipping|미국 선급협회|NULL
AC ( Alternating Current|교류 전류|NULL
AC Arc Welding|교류 아크용접|교류전원을 사용하는 아크용접
AC BALANCER|교류 밸런서|NULL
AC Balancer|교류 밸런서|NULL
AC GENERATOR|교류 발전기 ( 交流發電機 )|NULL
AC MOTOR|교류 전동기|NULL
AC MOTOR|교류 정류자기 ( 交流整流子機 )|NULL
AC Motor|교류 전동기|NULL
AC Motor|교류 정류자기 ( 交流整流子機 )|NULL
AC SLNGLE SPEED CONTROL|교류 1 단 속도제어|NULL
AC generator|교류 발전기 ( 交流發電機 )|NULL
ACB(Air Circuit Breaker|기중 차단기|NULL
ACC (Automatic Combustion Control|보일러 자동 연소제어 (自動燃燒制御|NULL
ACCEPT WITH COMMENT|주석조건하에 수락|NULL
ACCEPTANCE TRIAL|인수 시운전|NULL
ACCESS HOLE|억세스홀|NULL
ACCOMMODATION|거주구|NULL
ACCU(Automatic control system certified for unattended eng. room|기관실 무인화등급 (ABS|NULL
ACCUMULATOR|어큐뮬레이터|NULL
ACETYLENE|아세틸렌 가스|NULL
ACTIVE PASS FILTER|능동 필터|NULL
ACTIVE PASS FILTER|자동 오자 정정 장치|NULL
ACTIVE POWER|유효 전력|NULL
ACTIVITY|작업 단위|NULL
ACV (Air Cushion Vehicle|공기 부양선(浮揚船|NULL
ADAPTIVE DELTA MODULATION|적응 델타 변조|NULL
ADAPTIVE DIFFERENTIAL PULSE CODE|적응 차등 펄스 부호 변조방식|NULL
ADB|아시아 개발 은행|ADB (Asian Development Bank), 아시아 개발은행은 아시아와 태평양 지역 개발도상국의 경제발전과 협력을 촉진한다는 목적으로 1966년 8월 22일 필리핀의 메트로 마닐라에서 창립함. ADB에는 아시아 태평양 경제 사회 위원회의 회원국 및 선진국들이 참여함
ADJUSTABLE CONDENSER, VARIABLE|가변 콘덴서|NULL
ADJUSTABLE INDUCTOR|가변 인덕터|NULL
ADJUSTABLE RESISTOR, VARIABLE RESISTOR|가변 저항기|NULL
ADVANCE PAYMENT (BANK)|환급보증|NULL
ADVANCE PAYMENT (BANK) GUARANTEE|환급보증|NULL
AFRAMAX(Average Freight Rate Assessment at the max. of Deadweight) C.O.T|아프라막스 C.O.T (8 만톤급 원유운반선|NULL
AFT DRAFT AT A.P.|선미 홀수|NULL
AFT PEAK TANK|선미 피이크 탱크|NULL
AFT PERPENDICULAR|선미 수선|NULL
AFTWARD|뒤쪽으로|NULL
AGENCY FOR INTERNATIONAL DEVELOPMENT|국제개발처|NULL
AHU( Air Handling Unit|중앙공기 조화장치|NULL
AHWP (Actual Hours of Work Performed|작업 완료분의 실투입 시수|NULL
AI (Allocated Item|당용(호선)자재|NULL
AI (Artificial Intelligence|인공지능(人工知能|NULL
AIIC|국제회의통역사협회|AIIC (International, Association of Conference Interpreters), 1953년 설립, 100개국 이상의 3,000명가량 회원이 가입되어 있으며, 국제회의 통역사들을 대표하는 국제기관임
AIR CIRCUIT BREAKER|기중( 氣中 ) 차단기|NULL
AIR CONDITIONER|공기 조절장치|NULL
AIR CUSION VEHICLE|공기 부양선|NULL
AIR HANDLING UNIT|공기 조화기|NULL
AIR HOLE|공기 구멍|NULL
AIR RELAY|공기식 계전기|NULL
AIR TEST|기밀 시험|NULL
AIR VENT|공기 배기용 창|NULL
AIR-BLAST CIRCUIT BREAKER|공기 차단기|NULL
AIR-BLAST CIRCUIT BREAKER|기중 차단기|NULL
AIRBORNE COLLISION AVOIDANCE SYSTEM|기상 충돌 방지 장치|NULL
AIS|선박자동식별장치|AIS (Automatic Identification System), 해상에서의 선박 충돌을 방지하기 위한 장치로서, VHF 주파수를 사용하며, 시계가 좋지 않은 경우에도 선명·침로·속력·위치·목적지 등의 식별이 가능함. 이를 통하여 선박 충돌 방지뿐만 아니라, 육상에서의 선박관제, 조난 선박의 수색 및 구조 활동 등에도 활용됨
ALARM & MONITORING SYSTEM|각종경보 및 집중감시장치|NULL
ALIPHATIC HYDROCARBONS|지방족탄화수소용제|NULL
ALKYD PAINT|ENGINE ROOM 혹은 BOSUN STORE 및 거주구에 많이 사용되는 발청 방지용 도료|NULL
ALLOCATION QUANTITY|할당 수량|NULL
ALLOY STEEL BOILER AND HEAT EXCHANGER TUBES|보일러 열교환기용 합금강 강관|NULL
ALLOY STEEL PIPES|배관용 합금강 강관|NULL
ALLOY STEEL TUBES FOR STRUCTURAL PURPOSE|구조용 합금강 강관|NULL
ALTERNATE CURRENT|교류|NULL
ALTERNATING CURRENT|교류|NULL
ALUMINUM CABLE STEEL REINFORCED|강심 알루미늄 연선|NULL
AM ( Amplitude Modulation|진폭 변조|NULL
AMERICAN BUREAU OF|미국 선급 협회|NULL
AMERICAN BUREAU OF SHIPPING|미국 선급 협회|NULL
AMERICAN BUREAU OF SHIPPING|미국선급|NULL
AMERICAN INSTITUTE OF|미국 철구조물 건설 협회|NULL
AMERICAN INSTITUTE OF MERCHANT SHIPPING|미국선주협회|NULL
AMERICAN INSTITUTE OF STEEL|미국 철구조물 건설 협회|NULL
AMERICAN IRON & STEEL INSTITUTE|미국철강협회|NULL
AMERICAN IRON AND STEEL|미국 철강 협회|NULL
AMERICAN IRON AND STEEL INSTITUTE|미국 철강 협회|NULL
AMERICAN NATIONAL STANDARD INSTITUTE|미국 국제 표준 협회|NULL
AMERICAN NATIONAL STANDARD INSTITUTE|미국표준공업규격|NULL
AMERICAN PETROLEUM|미국 석유 협회|NULL
AMERICAN PETROLEUM INSTITUTE|미국 석유 협회|NULL
AMERICAN SOCIETY FOR|미국 재료시험 협회|NULL
AMERICAN SOCIETY FOR METAL|미국금속협회|NULL
AMERICAN SOCIETY FOR TESTING AND|미국 재료시험 협회|NULL
AMERICAN SOCIETY FOR TESTING MATERIALS|미국재료시험협회|NULL
AMERICAN SOCIETY OF|미국 기계 기술자 협회|NULL
AMERICAN SOCIETY OF MECHANICAL|미국 기계 기술자 협회|NULL
AMERICAN SOCIETY OF MECHANICAL ENGINEERS|미국기계공업협회|NULL
AMERICAN SOCIETY OF NON-|미국 비파괴 검사 협회|NULL
AMERICAN SOCIETY OF NONDESTRUCTIVE TESTING|미국비파괴시험협회|NULL
AMERICAN STANDARD ASSOCIATION|미국공업규격|NULL
AMERICAN STANDARD CODE FOR INFORMATION INTERCHANGE|컴퓨터의 내부 문자표현 코드|NULL
AMERICAN WELDING SOCIETY|미국 용접 협회|NULL
AMERICAN WELDING SOCIETY|미국용접협회|NULL
AMERICAN WIRE GAUGE|미국 와이어 게이지|NULL
AMPERE|암페어|NULL
AMPERE|전류|NULL
AMPERE'S RIGHTHANDED SCREW RULE|암페어의 오른 나사의 법칙|NULL
AMPLIFIER|증폭기|NULL
AMPLITUDE MODULATION|진폭 변조|NULL
AMPLITUDE SHIFT KEYING|진폭 위상 변조|NULL
ANALOG DIGITAL CONVERTER|아나로그 디지털 변환기|NULL
ANGLE|산형재|NULL
ANGLE OF EXTINCTION|소호각|NULL
ANNUAL SURVEY|연차 검사|NULL
ANSI(American National Standards Institute|미국 표준협회|NULL
ANTI CORROSIVE|방청 도료|NULL
ANTI CORROSIVE PAINT|부식 방지 도료|NULL
ANTI FOULING|오염 방지 도료|NULL
ANTI FOULING PAINT|방오 도료|NULL
ANTI-ACRONYM ASSOCIATION|반약어 협회|NULL
ANTI-SUBMARINE WARFARE|대 잠수함전|NULL
ANTI-SURFACE VESSEL WARFARE|대 함전|NULL
ANTS (Automatic Navigation and Track-keeping System|자동항해및 침로유지 (針路維持)장치|NULL
AP (After Perpendicular|선미 수선(船尾垂線|NULL
APHoMSA|아·태 해사안전기관장회의|APHoMSA (Asia Pacific Heads of Maritime Safety Agencies), 아시아·태평양 지역 국가의 해양환경 보호 및 해사안전에 관한 정책 교류 그리고 해당 지역에서 발생하는 해양사고의 대응 및 조사에 관한 정보공유를 통해 국제협력 차원에서 발전적인 네트워크를 형성하여 공동 이익을 위해 대응 활동을 펼침. 2019년 제20차 APHoMSA 회의가 대한민국 서울에서 개최
API (American Petroleum Institute|미국 석유협회|NULL
APPARENT POWER|피상 전력|NULL
APPLICATION SPECIFIC IC|응용 주문형 집적회로|NULL
APPROACH CONTROL RADAR|근접관계 레이다|NULL
APPROVAL|승인|NULL
APT (After Peak Tank|선미 피이크 탱크|NULL
ARMATURE REACTION|전기자 반작용|NULL
ARPA (Automatic Rader Plotting Aids|레이다 자동충돌 예방 항법장치|NULL
ARTIFICIAL INTELLIGENCE|인공 지능|NULL
ASI (Allocated Stock Item|당용(當用)저장자재|NULL
ASME(American Society of Mechanical Engineers|미국기계학회|NULL
