영단어,한국단어,설명
Credential,신임장,"신임장이란 특정인을 외교 사절로 파견하는 취지와 그 사람의 신분을 상대 국가에 통고하는 문서로서, 국제기구 회의에서 신임장은 해당 회의에 참석하는 인물이 자국을 대표하는 증명 용도로 쓰임"
Secretariat,사무국,"사무국은 조직·단체에서 인사, 총무 등의 운영사무를 담당하는 부서를 지칭함. 국제해사기구(IMO)에서 사무국은 그 설립 목적에 따른 전문부서와 운영 전반(예산, 회계, 감사 등)을 관장하는 지원부서 등으로 구성 사무국의 수장은 사무총장(Secretary-General)이라 지칭하고 기구의 실질적 책임자를 의미함"
Assembly,총회,국제기구에서 총회는 모든 회원국이 모여서 의제를 토의하고 어떠한 사안에 관한 최종 결정을 내리는 의사 결정 기구(회의)을 지칭함
Council,이사회,"국제해사기구(IMO)의 실질적인 집행기관으로서 역할을 하고 있음. 총회가 최종 의사결정 기구지만 매번 요건을 충족하여 회의를 개최하기란 현실적으로 어렵기 때문에, 이사회를 구성하여 기구의 정책 수립, 재정 운영 등의 실질적 업무를 수행함"
Secretary-General,사무총장,사무국의 업무를 총괄하는 직위로서 국제해사기구(IMO) 수장을 의미함. 역대 IMO 사무총장의 명단은 아래와 같음 구 분 성 명 국 적 재임 기간 1대
Ove Nielsen,덴마크,1959~1961 2대
William Graham,영국,1961~1963 3대
Jean Roullier,프랑스,1964~1967 4대
Colin Goad,영국,1968~1973 5대
Chandrika Prasad Srivastava,인도,1974~1989 6대 William A. O'Neil 캐나다 1990~2003 7대
Efthimios E. Mitropoulos,그리스,2004~2011 8대
Koji Sekimizu,일본,2012~2015 9대
Lim Ki-tack,대한민국,2016~
Council Reform,이사회 개편,"기존 40개국으로 구성된 IMO 이사국 제도의 개편을 의미하며, 구체적으로 이사국 선출 방법, 선출 주기 및 각 범주(카테고리 A, B, C) 기준 등에 관한 변경을 논의함"
Chair / Vice-Chair,의장 / 부의장,"회의 진행을 총괄하는 직위를 지칭하며 초기에는 의장을 Chairman 명칭을 사용하였으나 성평등의 관점에서 남성을 지칭하는 ‘man’ 단어는 삭제되고 ‘Chair’ 용어를 통일적으로 사용하고 있음. 총회 의장은 ‘President’라고 함 ▶ SMC 고위관리위원회 SMC (Senior Management Committee), 사무총장과 사무국의 각 부서 고위직으로 구성된 위원회임. 기구의 주요 결정과 관련하여 사무국의 견해를 대변하고 원활한 회의 진행을 이끔. 2020년 2월"
SMC,구성은 아래 표와 같음,이름 직책 소속 Mr. Kitack Lim Secretary-General Mr. Lawrence Barchue Assistant Secretary-General & Director Department for Member State Audit and Implementation Support Ms. Heike Deggim Director Maritime Safety Division Mr. Hiroyuki Yamada Director Marine Environment Division Mr. Frederick Kenney Director Legal Affairs and External Relations Division Mr. Chris Trelawny Acting Director Technical Cooperation Division Ms. Ariane Gireud Director Conference Division Mr. Arsenio Dominguez Director Administrative Division and Acting Chief of Staff Mr. Sung-Jin Kim Head Internal Oversight and Ethics Office
World Maritime Day,세계 해사의 날,국제해사기구(IMO)는 매년 9월 마지막 목요일을 ‘World Maritime Day(세계 해사의 날)’로 지정하여 각 회원국 주요 인사와 함께 국제 해사 현안을 중점적으로 논의함 International
